Decimal       Hex   String
    107       006B  COPYRIGHT BALLY/MIDWAY MFG 1983
   1146       047A  CREDIT
   1153       0481  PRESS 1 OR 2 PLAYER
   1173       0495  PRESS 1 PLAYER
   1188       04A4  INSERT COIN
   2258       08D2  1ST MAN AT   000
   2275       08E3  THEN EVERY   000
   2855       0B27  ENTER YOUR INITIALS
   2875       0B3B  USE JOYSTICK TO SELECT LETTER
   2905       0B59  PRESS BLAST TO ENTER LETTER
   3096       0C18  WILD ALIEN GROUPOIDS
   3117       0C2D  HAVE SEIZED JOURNEYS
   3138       0C42  ELECTRO SUPERCHARGED
   3159       0C57  INSTRUMENTS
   3172       0C64  YOUR MISSION IS TO HELP
   3196       0C7C  JOURNEY RETRIEVE THEIR
   3219       0C93  INSTRUMENTS FROM THE
   3240       0CA8  DANGERS OF THE FIVE
   3260       0CBC  GALAXIES
   3270       0CC6  TREK THROUGH HAZARDOUS
   3293       0CDD  OBSTACLES IN QUEST OF
   3315       0CF3  EACH INSTRUMENT AND THEN
   3340       0D0C  BATTLE YOUR WAY BACK TO
   3364       0D24  THE SCARAB VEHICLE
   3384       0D38  WHEN ALL FIVE MISSIONS
   3407       0D4F  ARE COMPLETED JOURNEY
   3429       0D65  BEGINS A SPECTACULAR
   3450       0D7A  CONCERT AT THE GALACTIC
   3474       0D92  STADIUM
   3483       0D9B  JOURNEY PLAYS THEIR HIT
   3507       0DB3  SONG WHILE HERBIE GUARDS
   3532       0DCC  THE STAGE FROM FRENZIED
   3556       0DE4  GROUPOIDS WHO ARE TRYING
   3581       0DFD  TO TAKE THE INSTRUMENTS
   3639       0E37  COPYRIGHT MCMLXXXIII
   3660       0E4C  BALLY MIDWAY MFG
   3677       0E5D  ALL RIGHTS RESERVED
   3902       0F3E  PROGRAMMERS
   3914       0F4A  ARTIST
   3921       0F51  SOUNDS
   3928       0F58  HARDWARE
   3937       0F61  RICHARD DITTON
   3952       0F70  ELAINE DITTON
   3966       0F7E  SCOTT MORRISON
   3981       0F8D  STEVE MEYER
   3993       0F99  CARY MEDNICK
   4006       0FA6  ROBERT PLOUSSARD
   4023       0FB7  ASHOK CHARLES
   4222       107E  TEN
   4228       1084  NINE
   4234       108A  EIGHT
   4240       1090  SEVEN
   4246       1096  SIX
   4252       109C  FIVE
   4258       10A2  FOUR
   4264       10A8  THREE
   4270       10AE  TWO
   4276       10B4  ONE
   4282       10BA  ZERO
   4288       10C0  TO CONTINUE PLAY
   4305       10D1  INSERT COIN
   4317       10DD  
   4330       10EA  AND
   4334       10EE  PRESS 1 PLAYER
   4349       10FD  PRESS 1 OR 2 PLAYER
   4511       119F  GAME OVER
   4545       11C1  HIGH SCORES
   6253       186D  TEN
   6259       1873  NINE
   6265       1879  EIGHT
   6271       187F  SEVEN
   6277       1885  SIX
   6283       188B  FIVE
   6289       1891  FOUR
   6295       1897  THREE
   6301       189D  TWO
   6307       18A3  ONE
   6313       18A9  ZERO
   6782       1A7E  NEAL SCHON
   6793       1A89  LOW ON FUEL
   6805       1A95  OUT OF FUEL
   6827       1AAB  USE JOYSTICK TO THRUST
   9148       23BC  STEVE SMITH
